StepTemplate,StepLogo
windows-firewall-configure-rule.json,windows.png
windows-get-pending-reboot.json,windows.png
windows-get-processor-load.json,windows.png
windows-get-uptime.json,windows.png
windows-local-user.json,windows.png
windows-map-network-drive.json,windows.png
windows-restart-computer.json,windows.png
windows-scheduled-task-changepath.json,windows.png
windows-scheduled-task-create.json,windows.png
windows-scheduled-task-disable.json,windows.png
windows-scheduled-task-enable.json,windows.png
windows-service-remove.json,windows.png
windows-service-restart.json,windows.png
windows-service-set-startup-type.json,windows.png
windows-service-start.json,windows.png
windows-service-stop-or-kill.json,windows.png
windows-service-stop.json,windows.png
windows-wait-for-or-force-close-application.json,windows.png
xamarin-Insights-upload-dysm.json,xamarin.png
xamarin-testcloud-execute-testrun.json,xamarin.png
xml-attribute-update.json,
xml-transform-using-xdt.json,
